station,valid,tmpc,relh,sped,p01m
JRB,2023-01-03 18:40,,,6.90,T
JRB,2023-01-03 18:56,,,5.75,T
JRB,2023-01-03 19:56,,,4.60,T
JRB,2023-01-03 20:14,,,4.60,0.00
JRB,2023-01-03 20:56,,,4.60,0.00
JRB,2023-01-03 21:29,,,5.75,0.00
JRB,2023-01-03 21:56,,,4.60,0.00
JRB,2023-01-03 22:11,,,3.45,0.00
JRB,2023-01-03 22:56,,,4.60,0.00
JRB,2023-01-03 23:52,,,5.75,0.00
JRB,2023-01-03 23:56,,,5.75,0.00
JRB,2023-01-04 00:10,,,5.75,0.00
JRB,2023-01-04 00:26,,,4.60,0.00
JRB,2023-01-04 00:37,,,4.60,0.00
JRB,2023-01-04 00:56,,,3.45,0.00
JRB,2023-01-04 01:56,,,3.45,0.00
JRB,2023-01-04 02:56,,,5.75,0.00
JRB,2023-01-04 03:56,,,5.75,0.00
JRB,2023-01-04 03:59,,,5.75,0.00
JRB,2023-01-04 04:04,,,4.60,0.00
JRB,2023-01-04 04:11,,,4.60,0.00
JRB,2023-01-04 04:18,,,4.60,0.00
JRB,2023-01-04 04:23,,,4.60,0.00
JRB,2023-01-04 04:56,,,0.00,0.00
JRB,2023-01-04 05:56,,,6.90,0.00
JRB,2023-01-04 06:33,,,4.60,0.00
JRB,2023-01-04 06:44,,,6.90,0.00
JRB,2023-01-04 06:56,,,5.75,0.00
JRB,2023-01-04 07:20,,,5.75,0.00
JRB,2023-01-04 07:56,,,8.05,0.00
JRB,2023-01-04 08:30,,,8.05,0.00
JRB,2023-01-04 08:41,,,8.05,0.00
JRB,2023-01-04 08:56,,,9.20,0.00
JRB,2023-01-04 09:56,,,6.90,0.00
JRB,2023-01-04 10:56,,,6.90,0.00
JRB,2023-01-04 11:56,,,5.75,0.00
JRB,2023-01-04 12:56,,,5.75,0.00
JRB,2023-01-04 13:56,,,8.05,0.00
JRB,2023-01-04 14:56,,,3.45,0.25
JRB,2023-01-04 15:56,,,4.60,0.00
JRB,2023-01-04 16:56,,,0.00,0.00
JRB,2023-01-04 17:56,,,3.45,0.00
